15 300 3180
0 12 144.634 381.277
1 12 147.087 374.351
2 12 142.484 376.037
3 12 144.447 376.31
4 12 143.776 377.87
5 12 140.77 378.006
6 12 142.51 378.786
7 12 146.356 372.559
8 12 137.986 374.722
9 12 142.956 374.776
10 12 137.49 380.202
11 12 140.559 369.672
12 12 146.182 373.41
13 12 136.449 375.856
14 12 139.971 377.686
0 13 532.914 249.415
1 13 537.298 251.049
2 13 532.909 248.181
3 13 534.157 249.302
4 13 536.194 251.881
5 13 537.114 247.428
6 13 538.781 248.488
7 13 529.621 248.846
8 13 535.484 247.644
9 13 537.259 240.797
10 13 534.295 247.415
11 13 535.029 244.864
12 13 534.382 244.423
13 13 536.833 247.119
14 13 532.852 249.301
0 14 130.111 351.449
1 14 127.644 355.976
2 14 127.859 352.935
3 14 129.475 356.065
4 14 128.596 359.553
5 14 128.194 351.33
6 14 128.469 356.323
7 14 134.825 353.081
8 14 127.871 356.01
9 14 130.65 355.273
10 14 125.541 356.987
11 14 129.484 353.162
12 14 132.194 358.54
13 14 128.87 352.687
14 14 127.929 352.727
0 16 348.108 384.637
1 16 342.908 390.556
2 16 346.164 387.497
3 16 338.846 384.06
4 16 347.892 392.894
5 16 343.75 384.744
6 16 350.659 386.525
7 16 353.923 386.574
8 16 348.994 388.072
9 16 349.399 387.599
10 16 348.223 387.282
11 16 343.417 384.276
12 16 346.398 387.085
13 16 345.101 380.569
14 16 343.366 394.52
0 17 480.866 141.687
1 17 482.164 146.208
2 17 473.198 140.409
3 17 475.857 138.43
4 17 478.778 144.373
5 17 479.338 139.101
6 17 478.115 140.745
7 17 477.961 136.183
8 17 478.619 141.643
9 17 477.243 141.483
10 17 477.906 131.901
11 17 483.854 144.707
12 17 473.477 140.798
13 17 481.373 138.72
14 17 478.498 141.055
0 21 355.224 180.99
1 21 354.066 180.761
2 21 356.222 180.527
3 21 349.946 181.446
4 21 354.566 184.352
5 21 353.367 178.073
6 21 354.075 187.615
7 21 349.018 182.218
8 21 353.299 180.611
9 21 349.74 182.851
10 21 349.654 184.847
11 21 350.573 180.997
12 21 348.326 179.387
13 21 353.134 179.46
14 21 345.727 183.265
0 22 332.091 318.538
1 22 331.07 315.043
2 22 334.241 313.916
3 22 332.097 313.529
4 22 328.502 324.07
5 22 337.024 316.718
6 22 334.046 320.131
7 22 330.497 321.25
8 22 336.571 319.617
9 22 329.068 312.819
10 22 333.812 317.397
11 22 333.083 319.252
12 22 331.243 315.86
13 22 328.63 323.538
14 22 332.476 319.875
0 25 507.781 182.6
1 25 513.65 184.624
2 25 509.649 180.427
3 25 508.432 180.069
4 25 509.594 184.914
5 25 508.46 182.156
6 25 514.489 181.535
7 25 506.435 182.941
8 25 509.8 178.233
9 25 514.475 177.741
10 25 514.938 178.611
11 25 507.995 183.832
12 25 514.055 184.229
13 25 517.94 178.171
14 25 515.339 181.228
0 26 475.292 203.103
1 26 472.519 198.669
2 26 473.925 201.162
3 26 475.38 195.594
4 26 470.187 196.189
5 26 473.812 199.038
6 26 477.156 199.837
7 26 477.047 198.523
8 26 480.388 202.213
9 26 475.676 199.492
10 26 475.39 200.463
11 26 475.573 202.465
12 26 475.352 198.449
13 26 475.476 201.67
14 26 472.619 204.893
0 28 106.908 195.251
1 28 106.501 189.318
2 28 109.633 196.009
3 28 111.138 194.248
4 28 106.254 193.418
5 28 104.588 197.57
6 28 101.117 192.867
7 28 106.644 195.087
8 28 104.522 198.166
9 28 105.753 197.613
10 28 108.179 198.273
11 28 110.65 193.666
12 28 106.117 187.739
13 28 110.864 196.194
14 28 105.809 195.045
0 29 463.783 196.632
1 29 464.593 205.921
2 29 468.914 201.001
3 29 467.699 203.763
4 29 463.618 197.862
5 29 460.988 201.327
6 29 462.664 201.879
7 29 463.003 196.455
8 29 460.661 196.342
9 29 463.186 201.798
10 29 465.263 198.751
11 29 465.499 198.102
12 29 467.798 200.181
13 29 462.82 202.171
14 29 461.715 200.986
0 30 433.141 260.963
1 30 438.548 263.244
2 30 443.173 261.65
3 30 438.729 266.116
4 30 440.671 259.399
5 30 437.532 261.87
6 30 440.579 262.679
7 30 444.599 261.873
8 30 441.032 265.074
9 30 435.063 256.754
10 30 439.789 264.995
11 30 437.556 260.097
12 30 437.399 262.216
13 30 441.158 264.471
14 30 438.287 263.895
0 32 482.178 335.689
1 32 476.07 331.416
2 32 482.097 330.497
3 32 482.357 332.015
4 32 485.813 331.489
5 32 479.457 333.179
6 32 475.57 331.698
7 32 485.039 333.674
8 32 488.396 333.606
9 32 479.967 336.2
10 32 481.667 329.905
11 32 476.674 337.245
12 32 484.766 330.408
13 32 480.986 332.642
14 32 479.113 336.448
0 33 104.381 235.485
1 33 110.553 233.153
2 33 100.498 236.433
3 33 104.893 234.303
4 33 103.36 238.6
5 33 96.6133 238.605
6 33 104.262 240.4
7 33 97.8584 233.445
8 33 101.955 240.595
9 33 101.779 238.112
10 33 101.494 233.094
11 33 102.285 235.931
12 33 107.756 232.518
13 33 101.984 235.837
14 33 104.007 234.817
0 34 52.523 343.472
1 34 55.6733 343.734
2 34 55.1398 347.005
3 34 58.8455 350.216
4 34 51.1528 353.038
5 34 51.2844 344.925
6 34 54.4931 346.989
7 34 53.4253 344.585
8 34 55.9995 337.756
9 34 55.0038 345.114
10 34 54.2048 338.795
11 34 58.0123 341.638
12 34 52.6844 343.405
13 34 47.5557 346.792
14 34 55.9474 346.504
0 35 274.701 275.094
1 35 267.865 269.816
2 35 269.035 273.725
3 35 268.982 278.553
4 35 272.925 273.211
5 35 266.151 279.565
6 35 267.609 278.373
7 35 266.651 278.782
8 35 268.187 272.837
9 35 270.992 280.094
10 35 267.113 275.681
11 35 268.449 276.948
12 35 263.317 281.059
13 35 265.585 282.416
14 35 266.196 277.961
0 36 551.461 176.521
1 36 554.142 187.563
2 36 557.246 180.547
3 36 556.319 184.419
4 36 557.463 180.872
5 36 559.864 178.245
6 36 562.147 177.878
7 36 554.779 177.707
8 36 559.744 182.052
9 36 560.441 178.192
10 36 563.475 178.697
11 36 560.664 179.552
12 36 555.818 174.915
13 36 554.172 180.909
14 36 553.257 182.239
0 37 70.7501 223.521
1 37 70.9231 221.939
2 37 70.061 220.392
3 37 68.7695 218.633
4 37 72.0722 223.809
5 37 76.2691 215.932
6 37 69.1411 219.329
7 37 73.6318 222.608
8 37 69.6322 229.721
9 37 75.2194 222.134
10 37 71.3237 224.726
11 37 65.0285 222.494
12 37 71.8682 223.758
13 37 70.7663 223.83
14 37 72.7652 226.99
0 38 378.803 166.506
1 38 367.892 171.831
2 38 370.821 175.157
3 38 373.184 166.717
4 38 372.772 171.05
5 38 376.382 170.135
6 38 372.91 169.377
7 38 372.828 173.592
8 38 369.958 167.461
9 38 371.225 164.318
10 38 376.433 166.792
11 38 378.411 166.628
12 38 376.608 174.863
13 38 373.68 174.816
14 38 374.587 171.059
0 40 316.07 117.611
1 40 314.363 124.248
2 40 315.984 112.17
3 40 319.138 115.928
4 40 317.318 117.069
5 40 320.174 123.446
6 40 313.408 119.214
7 40 316.493 120.091
8 40 321.895 114.05
9 40 312.307 118.881
10 40 315.132 123.339
11 40 316.348 123.935
12 40 316.528 118.815
13 40 310.944 117.112
14 40 314.812 123.318
0 42 525.687 210.097
1 42 523.642 208.107
2 42 523.54 206.204
3 42 518.924 205.814
4 42 523.37 209.158
5 42 521.874 213.01
6 42 524.421 209.532
7 42 523.295 209.307
8 42 521.484 213.259
9 42 527.126 207.232
10 42 525.267 206.795
11 42 523.577 206.297
12 42 524.06 210.444
13 42 521.895 206.459
14 42 523.959 210.798
0 43 80.5049 182.837
1 43 86.3299 180.144
2 43 88.1716 179.297
3 43 79.8299 185.425
4 43 79.1703 179.004
5 43 79.4157 178.448
6 43 86.2588 179.06
7 43 80.5338 178.062
8 43 89.3964 179.492
9 43 85.7422 174.977
10 43 78.897 176.006
11 43 84.8733 183.181
12 43 81.7883 177.264
13 43 74.9673 179.444
14 43 75.9157 183.237
0 44 29.7029 167.006
1 44 31.0377 170.452
2 44 26.2475 167.763
3 44 28.1103 165.009
4 44 23.9255 166.926
5 44 30.1215 165.138
6 44 28.0549 172.447
7 44 32.2227 168.422
8 44 26.986 167.645
9 44 30.9902 173.077
10 44 28.142 168.605
11 44 32.4339 167.318
12 44 26.4959 172.003
13 44 30.6789 166.082
14 44 30.0361 169.996
0 45 553.937 134.273
1 45 555.394 141.83
2 45 558.844 138.807
3 45 555.156 138.32
4 45 553.843 137.969
5 45 555.382 140.238
6 45 554.656 142.098
7 45 555.179 138.185
8 45 552.149 135.594
9 45 554.72 133.945
10 45 560.353 144.325
11 45 556.964 139.042
12 45 555.672 136.361
13 45 553.552 147.562
14 45 554.381 143.623
0 47 336.358 124.135
1 47 333.122 124.782
2 47 336.414 125.262
3 47 337.556 127.747
4 47 335.639 125.911
5 47 331.243 131.404
6 47 339.734 128.843
7 47 333.071 127.025
8 47 337.724 128.49
9 47 336.223 126.525
10 47 335.872 122.199
11 47 331.867 125.547
12 47 329.989 134.851
13 47 338.279 121.974
14 47 337.363 127.02
0 48 601.33 162.533
1 48 598.679 163.736
2 48 600.221 162.757
3 48 605.801 152.35
4 48 604.499 156.043
5 48 602.526 155.928
6 48 598.286 164.22
7 48 598.564 158.079
8 48 605.643 159.386
9 48 607.755 164.032
10 48 598.735 154.144
11 48 604.888 159.723
12 48 601.613 153.312
13 48 599.031 156.061
14 48 598.163 158.166
0 52 289.173 146.546
1 52 278.203 149.01
2 52 281.003 143.673
3 52 281.188 143.941
4 52 280.409 146.396
5 52 282.654 147.399
6 52 286.628 149.579
7 52 279.598 145.888
8 52 281.844 149.276
9 52 285.748 143.095
10 52 278.519 144.695
11 52 282.453 143.099
12 52 283.157 146.232
13 52 281.176 142.368
14 52 276.474 141.25
0 53 519.179 258.282
1 53 518.896 260.953
2 53 519.575 259.461
3 53 524.587 264.442
4 53 519.277 259.303
5 53 519.438 259.922
6 53 514.128 263.335
7 53 519.946 263.571
8 53 517.391 266.934
9 53 517.263 261.374
10 53 520.767 257.819
11 53 521.254 262.804
12 53 519.764 263.118
13 53 520.964 263.951
14 53 519.245 260.042
0 56 603.076 131.898
1 56 598.826 123.463
2 56 593.959 123.572
3 56 599.389 123.671
4 56 596.906 130.742
5 56 599.323 124.736
6 56 601.556 129.338
7 56 601.603 130.298
8 56 600.255 130.765
9 56 596.985 130.093
10 56 601.138 131.147
11 56 598.948 131.182
12 56 592.935 127.694
13 56 598.3 127.955
14 56 594.986 127.126
0 58 41.6608 152.769
1 58 34.8822 147.958
2 58 35.824 153.667
3 58 39.6535 150.735
4 58 38.7472 156.626
5 58 32.557 144.078
6 58 39.8982 147.123
7 58 38.2984 153.247
8 58 38.7434 148.319
9 58 41.6963 146.32
10 58 37.9422 148.099
11 58 39.2651 145.825
12 58 34.8925 145.362
13 58 43.2962 154.036
14 58 40.6053 152.106
0 59 606.424 365.211
1 59 604.572 369.153
2 59 603.905 359.5
3 59 605.549 359.235
4 59 605.525 358.266
5 59 597.53 363.836
6 59 598.842 362.316
7 59 602.754 357.632
8 59 601.606 355.896
9 59 604.005 361.023
10 59 600.904 363.176
11 59 601.103 360.538
12 59 601.436 359.044
13 59 605.34 359.714
14 59 605.534 356.769
0 60 397.133 256.242
1 60 396.497 256.287
2 60 390.893 254.585
3 60 390.666 255.022
4 60 393.263 258.812
5 60 392.087 258.813
6 60 393.125 252.738
7 60 392.414 255.317
8 60 395.619 252.474
9 60 390.564 258.786
10 60 391.174 254.221
11 60 387.918 253.07
12 60 395.553 251.539
13 60 389.262 255.956
14 60 391.868 253.341
0 62 152.662 311.745
1 62 158.129 313.618
2 62 157.605 311.088
3 62 155.174 308.338
4 62 160.087 312.149
5 62 155.089 314.674
6 62 157.16 315.332
7 62 153.45 308.487
8 62 152.987 313.608
9 62 157.655 309.995
10 62 155.617 310.023
11 62 151.763 310.618
12 62 150.79 312.373
13 62 152.839 315.497
14 62 151.335 315.472
0 63 597.145 259.442
1 63 603.887 257.747
2 63 602.103 263.457
3 63 602.402 261.801
4 63 603.757 258.242
5 63 600.136 257.335
6 63 608.172 260.468
7 63 605.241 259.212
8 63 600.516 258.874
9 63 609.089 259.972
10 63 599.391 261.137
11 63 604.899 261.472
12 63 605.924 251.739
13 63 603.987 256.954
14 63 602.949 261.911
0 68 47.6524 231.288
1 68 43.2016 239.868
2 68 44.0084 238.438
3 68 42.0219 235.939
4 68 53.8501 236.137
5 68 36.413 239.163
6 68 42.9344 239.084
7 68 48.4394 239.921
8 68 44.3387 240.679
9 68 45.0353 234.641
10 68 48.7873 237.8
11 68 46.4402 238.772
12 68 47.9342 233.02
13 68 43.2591 242.617
14 68 47.4264 236.605
0 70 424.628 166.998
1 70 429.464 165.99
2 70 430.897 175.846
3 70 426.91 171.395
4 70 429.934 166.586
5 70 429.649 171.86
6 70 427.467 168.797
7 70 429.892 168.863
8 70 429.323 167.034
9 70 419.386 169.249
10 70 428.207 176.422
11 70 428.622 174.541
12 70 422.907 172.177
13 70 421.97 167.22
14 70 422.182 176.853
0 71 147.49 296.761
1 71 151.978 302.323
2 71 152.091 306.861
3 71 148.495 304.291
4 71 152.275 301.56
5 71 153.661 300.109
6 71 149.159 298.283
7 71 149.374 300.084
8 71 149.269 304.265
9 71 147.324 300.904
10 71 148.671 303.407
11 71 144.803 306.676
12 71 147.652 302.554
13 71 149.584 306.746
14 71 148.577 301.418
0 73 441.818 162.253
1 73 446.568 167.334
2 73 441.882 160.56
3 73 445.006 160.142
4 73 450.858 165.276
5 73 446.792 170.937
6 73 440.671 164.53
7 73 444.904 163.349
8 73 440.942 160.304
9 73 443.744 167.95
10 73 439.156 165.37
11 73 445.663 160.62
12 73 445.512 162.807
13 73 444.633 168.059
14 73 444.869 164.691
0 74 132.616 373.549
1 74 132.229 368.459
2 74 132.591 376.425
3 74 129.867 372.972
4 74 130.243 377.403
5 74 130.817 378.319
6 74 133.259 375.774
7 74 129.6 371.445
8 74 132.55 375.765
9 74 130.931 372.978
10 74 130.664 374.55
11 74 130.149 377.694
12 74 131.085 374.91
13 74 132.563 373.431
14 74 131.567 377.306
0 77 617.15 195.759
1 77 619.896 196.07
2 77 626.008 194.495
3 77 622.534 192.409
4 77 624.522 190.612
5 77 618.678 192.153
6 77 621.163 190.326
7 77 625.761 194.887
8 77 626.762 194.195
9 77 618.066 190.555
10 77 623.965 194.312
11 77 622.095 198.007
12 77 622.766 189.143
13 77 621.113 191.958
14 77 621.653 192.907
0 78 185.47 99.6045
1 78 184.437 96.9796
2 78 185.207 95.1474
3 78 183.07 100.001
4 78 185.049 96.8896
5 78 183.952 92.4145
6 78 186.421 95.2305
7 78 186.751 96.0125
8 78 186.044 91.9655
9 78 184.558 91.8575
10 78 183.507 96.5808
11 78 186.79 91.6955
12 78 182.593 95.8571
13 78 185.56 89.7547
14 78 184.064 96.9994
0 79 100.853 331.16
1 79 94.8075 335.133
2 79 92.9889 333.109
3 79 99.1562 336.591
4 79 98.487 333.693
5 79 104.724 330.984
6 79 98.3398 332.16
7 79 100.299 330.607
8 79 98.3167 331.74
9 79 96.1411 330.609
10 79 95.189 331.597
11 79 97.4634 329.553
12 79 95.1387 336.051
13 79 97.8767 328.26
14 79 98.1536 334.853
0 80 307.991 237.066
1 80 303.056 236.348
2 80 308.364 235.81
3 80 307.424 234.418
4 80 305.289 239.862
5 80 301.912 232.484
6 80 303.869 233.612
7 80 307.146 237.493
8 80 303.872 239.598
9 80 302.651 237.716
10 80 307.873 231.034
11 80 306.399 232.335
12 80 303.988 238.108
13 80 304.647 239.644
14 80 303.422 237.303
0 81 30.6253 302.666
1 81 33.257 307.585
2 81 30.6479 304.035
3 81 36.0285 304.905
4 81 31.213 299.667
5 81 33.0211 308.87
6 81 28.4788 302.598
7 81 29.4734 306.925
8 81 30.295 305.876
9 81 27.5675 303.363
10 81 34.4756 306.538
11 81 29.9024 303.25
12 81 27.8852 303.548
13 81 29.6951 303.245
14 81 31.543 305.472
0 82 249.207 119.123
1 82 251.562 110.025
2 82 251.426 113.065
3 82 251.53 113.637
4 82 251.501 110.447
5 82 248.979 111.881
6 82 244.164 113.094
7 82 251.312 114.075
8 82 242.178 116.409
9 82 248.908 115.06
10 82 253.614 115.4
11 82 245.285 111.041
12 82 248.321 113.739
13 82 241.539 112.246
14 82 251.827 111.937
0 83 429.886 284.466
1 83 429.179 283.428
2 83 431.78 287.832
3 83 433.128 285.038
4 83 431.334 286.402
5 83 434.031 289.304
6 83 428.912 289.542
7 83 434.344 287.882
8 83 429.777 290.335
9 83 429.764 287.752
10 83 432.826 291.668
11 83 433.686 286.911
12 83 430.278 285.53
13 83 432.59 285.758
14 83 425.854 290.286
0 84 421.816 142.607
1 84 421.176 147.335
2 84 418.421 145.722
3 84 413.566 147.248
4 84 411.744 145.604
5 84 413.461 142.85
6 84 417.495 147.019
7 84 411.551 141.099
8 84 420.973 146.07
9 84 414.399 151.722
10 84 419.636 145.256
11 84 420.316 150.981
12 84 414.267 147.742
13 84 421.688 144.108
14 84 418.684 144.485
0 85 175.66 305.55
1 85 180.675 301.999
2 85 184.685 306.168
3 85 181.863 307.329
4 85 175.34 301.866
5 85 180.001 306.915
6 85 176.415 305.343
7 85 173.393 302.073
8 85 175.099 301.573
9 85 179.421 304.551
10 85 178.602 301.455
11 85 175.485 298.183
12 85 175.207 302.892
13 85 173.758 303.6
14 85 177.694 304.547
0 87 125.995 281.848
1 87 122.412 277.594
2 87 127.497 276.58
3 87 119.828 279.085
4 87 130.841 280.474
5 87 122.144 276.984
6 87 126.749 281.529
7 87 126.375 279.163
8 87 115.848 279.079
9 87 116.467 279.491
10 87 121.079 281.99
11 87 119.422 280.507
12 87 118.486 282.618
13 87 119.936 282.923
14 87 125.881 279.399
0 88 110.422 121.552
1 88 112.414 128.751
2 88 116.177 122.771
3 88 115.613 128.076
4 88 114.585 117.352
5 88 109.573 120.86
6 88 120.529 122.333
7 88 120.065 124.722
8 88 118.549 123.076
9 88 117.453 125.03
10 88 118.073 123.773
11 88 116.187 116.001
12 88 115.945 119.08
13 88 116.585 122.318
14 88 113.906 123.852
0 89 4.53594 285.921
1 89 6.14771 287.376
2 89 7.80033 285.003
3 89 5.55446 290.723
4 89 8.8791 282.384
5 89 10.0117 284.868
6 89 6.93448 290.412
7 89 8.2963 287.124
8 89 4.9984 282.772
9 89 4.74087 286.503
10 89 7.53199 290.74
11 89 5.67587 288.703
12 89 10.0275 290.367
13 89 7.41788 292.696
14 89 7.19781 294.485
0 90 396.245 193.227
1 90 397.617 193.434
2 90 388.834 198.275
3 90 398.416 197.356
4 90 393.671 196.992
5 90 399.013 200.743
6 90 390.154 194.589
7 90 396.1 195.223
8 90 394.013 193.805
9 90 397.488 191.966
10 90 392.249 196.552
11 90 392.585 197.231
12 90 397.979 198.602
13 90 390.984 194.449
14 90 391.859 195.742
0 91 140.522 285.055
1 91 143.837 285.576
2 91 144.104 291.872
3 91 141.714 285.688
4 91 138.38 286.497
5 91 142.177 289.785
6 91 146.541 284.381
7 91 144.301 280.608
8 91 140.59 284.669
9 91 143.99 285.045
10 91 140.843 285.819
11 91 142.288 285.931
12 91 146.324 285.901
13 91 137.642 288.067
14 91 144.219 286.386
0 92 189.755 187.282
1 92 191.631 181.735
2 92 182.877 186.069
3 92 186.177 184.874
4 92 184.427 181.486
5 92 182.096 179.459
6 92 183.429 181.647
7 92 186.524 183.086
8 92 183.423 183.842
9 92 186.033 180.633
10 92 184.564 184.274
11 92 184.189 180.308
12 92 180.62 181.032
13 92 185.895 177.183
14 92 183.46 181.431
0 94 70.431 192.796
1 94 75.0812 199.64
2 94 70.107 197.177
3 94 80.8314 189.596
4 94 80.7316 194.051
5 94 77.1 199.248
6 94 78.3527 200.387
7 94 75.9509 194.418
8 94 74.1429 197.226
9 94 80.3188 194.716
10 94 75.4655 195.154
11 94 76.5255 202.593
12 94 74.5259 195.246
13 94 76.7001 197.034
14 94 70.0055 191.22
0 96 15.0943 289.875
1 96 15.1518 293.572
2 96 20.9619 291.691
3 96 18.825 290.065
4 96 20.8761 290.679
5 96 16.9086 288.625
6 96 14.091 288.731
7 96 13.3773 294.716
8 96 20.2365 294.396
9 96 21.3272 293.549
10 96 17.7291 296.095
11 96 15.3496 294.547
12 96 15.2319 293.886
13 96 16.5974 292.264
14 96 18.7072 291.111
0 97 538.704 210.113
1 97 545.203 203.426
2 97 544.962 215.931
3 97 545.678 209.295
4 97 542.796 208.01
5 97 540.696 206.941
6 97 542.638 210.709
7 97 545.28 207.908
8 97 541.826 205.553
9 97 543.347 207.076
10 97 541.885 209.061
11 97 549.387 206.588
12 97 546.552 206.552
13 97 546.873 209.657
14 97 541.967 212.763
0 98 599.415 351.42
1 98 594.572 343.519
2 98 595.781 346.591
3 98 593.527 342.95
4 98 596.174 346.134
5 98 595.184 350.016
6 98 592.782 350.664
7 98 597.88 346.934
8 98 596.552 345.993
9 98 598.366 341.214
10 98 596.418 340.447
11 98 593.604 346.923
12 98 595.708 351.036
13 98 594.762 345.646
14 98 590.184 348.195
0 99 364.623 331.013
1 99 365.819 332.984
2 99 368.252 329.269
3 99 363.669 332.941
4 99 364.524 333.447
5 99 363.722 334.407
6 99 360.892 331.708
7 99 358.752 328.881
8 99 359.876 330.963
9 99 362.352 332.407
10 99 360.323 332.484
11 99 367.055 326.848
12 99 367.325 329.351
13 99 361.53 334.22
14 99 366.883 330.871
0 101 381.745 239.371
1 101 376.108 242.283
2 101 384.381 239.386
3 101 374.783 236.011
4 101 383.905 237.875
5 101 378.626 240.453
6 101 381.941 242.483
7 101 370.958 237.817
8 101 376.758 248.982
9 101 374.138 242.399
10 101 374.185 243.109
11 101 375.837 241.48
12 101 369.138 245.768
13 101 373.763 238.379
14 101 379.217 237.699
0 103 617.859 239.112
1 103 620.793 228.937
2 103 620.548 229.027
3 103 622.035 228.094
4 103 617.41 228.401
5 103 614.871 232.776
6 103 617.425 223.462
7 103 619.203 231.023
8 103 624.7 230.018
9 103 622.717 227.921
10 103 616.085 226.361
11 103 623.24 225.594
12 103 619.034 228.995
13 103 617.839 231.981
14 103 617.181 226.051
0 104 38.5836 178.549
1 104 44.7787 181.919
2 104 44.9821 176.381
3 104 45.5618 181.91
4 104 51.7141 176.998
5 104 46.0649 180.301
6 104 51.4639 179.133
7 104 47.9258 185.342
8 104 48.7307 180.254
9 104 43.4996 176.635
10 104 43.1154 179.658
11 104 44.4738 179.788
12 104 46.1855 181.77
13 104 51.0006 182.565
14 104 44.5636 183.139
0 105 26.8152 302.297
1 105 29.034 301.585
2 105 22.6176 302.754
3 105 30.2278 308.768
4 105 18.1983 296.675
5 105 26.3265 300.678
6 105 21.5333 306.204
7 105 26.8493 301.316
8 105 25.1703 299.507
9 105 27.4686 301.568
10 105 26.5051 307.629
11 105 20.4816 302.579
12 105 29.0625 306.304
13 105 21.5424 299.963
14 105 26.9426 304.332
0 106 601.113 238.912
1 106 600.148 237.351
2 106 605.691 240.442
3 106 592.157 235.157
4 106 596.841 235.444
5 106 597.909 232.528
6 106 605.371 239.151
7 106 602.18 239.263
8 106 607.27 235.306
9 106 599.016 236.626
10 106 601.414 237.981
11 106 599.419 240.521
12 106 598.37 242.589
13 106 600.485 242.45
14 106 605.718 240.291
0 107 93.8932 156.603
1 107 88.1733 144.322
2 107 101.62 155.235
3 107 92.5213 154.122
4 107 100.65 156.736
5 107 100.554 150.749
6 107 95.2511 151.168
7 107 99.2927 154.369
8 107 94.046 150.61
9 107 98.028 153.543
10 107 98.3232 152.304
11 107 97.1694 147.943
12 107 95.6017 157.081
13 107 97.287 149.366
14 107 94.5995 156.899
0 108 5.69302 131.14
1 108 10.7174 130.017
2 108 7.86709 133.008
3 108 8.09986 130.407
4 108 14.2687 127.176
5 108 8.78364 133.456
6 108 16.1004 134.367
7 108 5.08071 131.563
8 108 10.5589 128.876
9 108 13.138 131.616
10 108 9.47733 133.317
11 108 14.5337 131.788
12 108 9.78953 136.499
13 108 10.0822 125.827
14 108 15.4111 125.268
0 110 577.898 271.054
1 110 573.397 271.347
2 110 579.323 272.007
3 110 580.823 268.756
4 110 577.048 272.717
5 110 576.122 267.979
6 110 574.318 273.274
7 110 578.702 268.975
8 110 578.106 271.662
9 110 582.796 274.189
10 110 576.917 269.606
11 110 578.718 272.337
12 110 575.22 266.414
13 110 577.495 265.456
14 110 577.646 274.752
0 111 189.997 236.279
1 111 184.842 232.513
2 111 188.582 240.665
3 111 187.727 236.017
4 111 184.027 236.194
